X,L,Section,End Condition,,Slope ,Deflection
0.34,5,0,SS,,-0.5102,0
0.345,5,0,SS,,-0.5169,0
0.35,5,0,SS,,-0.5235,0
0.355,5,0,SS,,-0.5301,0
0.36,5,0,SS,,-0.5368,0
0.365,5,0,SS,,-0.5433,0
0.37,5,0,SS,,-0.5499,0
0.375,5,0,SS,,-0.5564,0
0.38,5,0,SS,,-0.563,0
0.385,5,0,SS,,-0.5695,0
0.39,5,0,SS,,-0.5759,0
0.395,5,0,SS,,-0.5824,0
0.4,5,0,SS,,-0.5888,0
0.405,5,0,SS,,-0.5952,0
0.41,5,0,SS,,-0.6016,0
0.415,5,0,SS,,-0.6079,0
0.42,5,0,SS,,-0.6143,0
0.425,5,0,SS,,-0.6206,0
0.43,5,0,SS,,-0.6269,0
0.435,5,0,SS,,-0.6331,0
0.44,5,0,SS,,-0.6394,0
0.445,5,0,SS,,-0.6456,0
0.45,5,0,SS,,-0.6518,0
0.455,5,0,SS,,-0.658,0
0.46,5,0,SS,,-0.6641,0
0.465,5,0,SS,,-0.6702,0
0.47,5,0,SS,,-0.6763,0
0.475,5,0,SS,,-0.6824,0
0.48,5,0,SS,,-0.6885,0
0.485,5,0,SS,,-0.6945,0
0.49,5,0,SS,,-0.7005,0
0.495,5,0,SS,,-0.7065,0
0.5,5,0,SS,,-0.7125,0
0.505,5,0,SS,,-0.7184,0
0.51,5,0,SS,,-0.7244,0
0.515,5,0,SS,,-0.7303,0
0.52,5,0,SS,,-0.7362,0
0.525,5,0,SS,,-0.742,0
0.53,5,0,SS,,-0.7478,0
0.535,5,0,SS,,-0.7537,0
0.54,5,0,SS,,-0.7594,0
0.545,5,0,SS,,-0.7652,0
0.55,5,0,SS,,-0.771,0
0.555,5,0,SS,,-0.7767,0
0.56,5,0,SS,,-0.7824,0
0.565,5,0,SS,,-0.7881,0
0.57,5,0,SS,,-0.7937,0
0.575,5,0,SS,,-0.7994,0
0.58,5,0,SS,,-0.805,0
0.585,5,0,SS,,-0.8106,0
0.59,5,0,SS,,-0.8161,0
0.595,5,0,SS,,-0.8217,0
0.6,5,0,SS,,-0.8272,0
0.605,5,0,SS,,-0.8327,0
0.61,5,0,SS,,-0.8382,0
0.615,5,0,SS,,-0.8436,0
0.62,5,0,SS,,-0.8491,0
0.625,5,0,SS,,-0.8545,0
0.63,5,0,SS,,-0.8599,0
0.635,5,0,SS,,-0.8653,0
0.64,5,0,SS,,-0.8706,0
0.645,5,0,SS,,-0.8759,0
0.65,5,0,SS,,-0.8812,0
0.655,5,0,SS,,-0.8865,0
0.66,5,0,SS,,-0.8918,0
0.665,5,0,SS,,-0.897,0
0.67,5,0,SS,,-0.9022,0
0.675,5,0,SS,,-0.9074,0
0.68,5,0,SS,,-0.9126,0
0.685,5,0,SS,,-0.9178,0
0.69,5,0,SS,,-0.9229,0
0.695,5,0,SS,,-0.928,0
0.7,5,0,SS,,-0.9331,0
0.705,5,0,SS,,-0.9382,0
0.71,5,0,SS,,-0.9432,0
0.715,5,0,SS,,-0.9482,0
0.72,5,0,SS,,-0.9532,0
0.725,5,0,SS,,-0.9582,0
0.73,5,0,SS,,-0.9632,0
0.735,5,0,SS,,-0.9681,0
0.74,5,0,SS,,-0.973,0
0.745,5,0,SS,,-0.9779,0
0.75,5,0,SS,,-0.9828,0
0.755,5,0,SS,,-0.9877,0
0.76,5,0,SS,,-0.9925,0
0.765,5,0,SS,,-0.9973,0
0.77,5,0,SS,,-1.0021,0
0.775,5,0,SS,,-1.0069,0
0.78,5,0,SS,,-1.0116,0
0.785,5,0,SS,,-1.0163,0
0.79,5,0,SS,,-1.0211,0
0.795,5,0,SS,,-1.0257,0
0.8,5,0,SS,,-1.0304,0
0.805,5,0,SS,,-1.035,0
0.81,5,0,SS,,-1.0397,0
0.815,5,0,SS,,-1.0443,0
0.82,5,0,SS,,-1.0488,0
0.825,5,0,SS,,-1.0534,0
0.83,5,0,SS,,-1.0579,0
0.835,5,0,SS,,-1.0625,0
0.84,5,0,SS,,-1.067,0
0.845,5,0,SS,,-1.0714,0
0.85,5,0,SS,,-1.0759,0
0.855,5,0,SS,,-1.0803,0
0.86,5,0,SS,,-1.0847,0
0.865,5,0,SS,,-1.0891,0
0.87,5,0,SS,,-1.0935,0
0.875,5,0,SS,,-1.0979,0
0.88,5,0,SS,,-1.1022,0
0.885,5,0,SS,,-1.1065,0
0.89,5,0,SS,,-1.1108,0
0.895,5,0,SS,,-1.1151,0
0.9,5,0,SS,,-1.1193,0
0.905,5,0,SS,,-1.1235,0
0.91,5,0,SS,,-1.1277,0
0.915,5,0,SS,,-1.1319,0
0.92,5,0,SS,,-1.1361,0
0.925,5,0,SS,,-1.1402,0
0.93,5,0,SS,,-1.1444,0
0.935,5,0,SS,,-1.1485,0
0.94,5,0,SS,,-1.1526,0
0.945,5,0,SS,,-1.1566,0
0.95,5,0,SS,,-1.1607,0
0.955,5,0,SS,,-1.1647,0
0.96,5,0,SS,,-1.1687,0
0.965,5,0,SS,,-1.1727,0
0.97,5,0,SS,,-1.1766,0
0.975,5,0,SS,,-1.1806,0
0.98,5,0,SS,,-1.1845,0
0.985,5,0,SS,,-1.1884,0
0.99,5,0,SS,,-1.1923,0
0.995,5,0,SS,,-1.1962,0
1,5,0,SS,,-1.2,0
1.005,5,0,SS,,-1.2038,0
1.01,5,0,SS,,-1.2076,0
1.015,5,0,SS,,-1.2114,0
1.02,5,0,SS,,-1.2152,0
1.025,5,0,SS,,-1.2189,0
1.03,5,0,SS,,-1.2226,0
1.035,5,0,SS,,-1.2263,0
1.04,5,0,SS,,-1.23,0
1.045,5,0,SS,,-1.2337,0
1.05,5,0,SS,,-1.2373,0
1.055,5,0,SS,,-1.241,0
1.06,5,0,SS,,-1.2446,0
1.065,5,0,SS,,-1.2482,0
1.07,5,0,SS,,-1.2517,0
1.075,5,0,SS,,-1.2553,0
1.08,5,0,SS,,-1.2588,0
1.085,5,0,SS,,-1.2623,0
1.09,5,0,SS,,-1.2658,0
1.095,5,0,SS,,-1.2693,0
1.1,5,0,SS,,-1.2727,0
1.105,5,0,SS,,-1.2761,0
1.11,5,0,SS,,-1.2795,0
1.115,5,0,SS,,-1.2829,0
1.12,5,0,SS,,-1.2863,0
1.125,5,0,SS,,-1.2896,0
1.13,5,0,SS,,-1.293,0
1.135,5,0,SS,,-1.2963,0
1.14,5,0,SS,,-1.2996,0
1.145,5,0,SS,,-1.3029,0
1.15,5,0,SS,,-1.3061,0
1.155,5,0,SS,,-1.3093,0
1.16,5,0,SS,,-1.3126,0
1.165,5,0,SS,,-1.3158,0
1.17,5,0,SS,,-1.3189,0
1.175,5,0,SS,,-1.3221,0
1.18,5,0,SS,,-1.3252,0
1.185,5,0,SS,,-1.3284,0
1.19,5,0,SS,,-1.3315,0
1.195,5,0,SS,,-1.3345,0
1.2,5,0,SS,,-1.3376,0
1.205,5,0,SS,,-1.3406,0
1.21,5,0,SS,,-1.3437,0
1.215,5,0,SS,,-1.3467,0
1.22,5,0,SS,,-1.3497,0
1.225,5,0,SS,,-1.3526,0
1.23,5,0,SS,,-1.3556,0
1.235,5,0,SS,,-1.3585,0
1.24,5,0,SS,,-1.3614,0
1.245,5,0,SS,,-1.3643,0
1.25,5,0,SS,,-1.3672,0
1.255,5,0,SS,,-1.37,0
1.26,5,0,SS,,-1.3729,0
1.265,5,0,SS,,-1.3757,0
1.27,5,0,SS,,-1.3785,0
1.275,5,0,SS,,-1.3813,0
1.28,5,0,SS,,-1.384,0
1.285,5,0,SS,,-1.3868,0
1.29,5,0,SS,,-1.3895,0
1.295,5,0,SS,,-1.3922,0
1.3,5,0,SS,,-1.3949,0
1.305,5,0,SS,,-1.3976,0
1.31,5,0,SS,,-1.4002,0
1.315,5,0,SS,,-1.4029,0
1.32,5,0,SS,,-1.4055,0
1.325,5,0,SS,,-1.4081,0
1.33,5,0,SS,,-1.4106,0
1.335,5,0,SS,,-1.4132,0
1.34,5,0,SS,,-1.4157,0
1.345,5,0,SS,,-1.4183,0
1.35,5,0,SS,,-1.4208,0
1.355,5,0,SS,,-1.4232,0
1.36,5,0,SS,,-1.4257,0
1.365,5,0,SS,,-1.4282,0
1.37,5,0,SS,,-1.4306,0
1.375,5,0,SS,,-1.433,0
1.38,5,0,SS,,-1.4354,0
1.385,5,0,SS,,-1.4378,0
1.39,5,0,SS,,-1.4401,0
1.395,5,0,SS,,-1.4425,0
1.4,5,0,SS,,-1.4448,0
1.405,5,0,SS,,-1.4471,0
1.41,5,0,SS,,-1.4494,0
1.415,5,0,SS,,-1.4517,0
1.42,5,0,SS,,-1.4539,0
1.425,5,0,SS,,-1.4561,0
1.43,5,0,SS,,-1.4584,0
1.435,5,0,SS,,-1.4606,0
1.44,5,0,SS,,-1.4627,0
1.445,5,0,SS,,-1.4649,0
1.45,5,0,SS,,-1.467,0
1.455,5,0,SS,,-1.4692,0
1.46,5,0,SS,,-1.4713,0
1.465,5,0,SS,,-1.4734,0
1.47,5,0,SS,,-1.4754,0
1.475,5,0,SS,,-1.4775,0
1.48,5,0,SS,,-1.4795,0
1.485,5,0,SS,,-1.4815,0
1.49,5,0,SS,,-1.4835,0
1.495,5,0,SS,,-1.4855,0
1.5,5,0,SS,,-1.4875,0
1.505,5,0,SS,,-1.4894,0
1.51,5,0,SS,,-1.4914,0
1.515,5,0,SS,,-1.4933,0
1.52,5,0,SS,,-1.4952,0
1.525,5,0,SS,,-1.4971,0
1.53,5,0,SS,,-1.4989,0
1.535,5,0,SS,,-1.5008,0
1.54,5,0,SS,,-1.5026,0
1.545,5,0,SS,,-1.5044,0
1.55,5,0,SS,,-1.5062,0
1.555,5,0,SS,,-1.508,0
1.56,5,0,SS,,-1.5097,0
1.565,5,0,SS,,-1.5115,0
1.57,5,0,SS,,-1.5132,0
1.575,5,0,SS,,-1.5149,0
1.58,5,0,SS,,-1.5166,0
1.585,5,0,SS,,-1.5183,0
1.59,5,0,SS,,-1.5199,0
1.595,5,0,SS,,-1.5216,0
1.6,5,0,SS,,-1.5232,0
1.605,5,0,SS,,-1.5248,0
1.61,5,0,SS,,-1.5264,0
1.615,5,0,SS,,-1.528,0
1.62,5,0,SS,,-1.5295,0
1.625,5,0,SS,,-1.5311,0
1.63,5,0,SS,,-1.5326,0
1.635,5,0,SS,,-1.5341,0
1.64,5,0,SS,,-1.5356,0
1.645,5,0,SS,,-1.537,0
1.65,5,0,SS,,-1.5385,0
1.655,5,0,SS,,-1.5399,0
1.66,5,0,SS,,-1.5413,0
1.665,5,0,SS,,-1.5427,0
1.67,5,0,SS,,-1.5441,0
1.675,5,0,SS,,-1.5455,0
1.68,5,0,SS,,-1.5469,0
1.685,5,0,SS,,-1.5482,0
1.69,5,0,SS,,-1.5495,0
1.695,5,0,SS,,-1.5508,0
1.7,5,0,SS,,-1.5521,0
1.705,5,0,SS,,-1.5534,0
1.71,5,0,SS,,-1.5546,0
1.715,5,0,SS,,-1.5559,0
1.72,5,0,SS,,-1.5571,0
1.725,5,0,SS,,-1.5583,0
1.73,5,0,SS,,-1.5595,0
1.735,5,0,SS,,-1.5606,0
1.74,5,0,SS,,-1.5618,0
1.745,5,0,SS,,-1.5629,0
1.75,5,0,SS,,-1.5641,0
1.755,5,0,SS,,-1.5652,0
1.76,5,0,SS,,-1.5663,0
1.765,5,0,SS,,-1.5673,0
1.77,5,0,SS,,-1.5684,0
1.775,5,0,SS,,-1.5694,0
1.78,5,0,SS,,-1.5705,0
1.785,5,0,SS,,-1.5715,0
1.79,5,0,SS,,-1.5725,0
1.795,5,0,SS,,-1.5734,0
1.8,5,0,SS,,-1.5744,0
1.805,5,0,SS,,-1.5753,0
1.81,5,0,SS,,-1.5763,0
1.815,5,0,SS,,-1.5772,0
1.82,5,0,SS,,-1.5781,0
1.825,5,0,SS,,-1.579,0
1.83,5,0,SS,,-1.5798,0
1.835,5,0,SS,,-1.5807,0
1.84,5,0,SS,,-1.5815,0
1.845,5,0,SS,,-1.5823,0
1.85,5,0,SS,,-1.5831,0
1.855,5,0,SS,,-1.5839,0
1.86,5,0,SS,,-1.5847,0
1.865,5,0,SS,,-1.5855,0
1.87,5,0,SS,,-1.5862,0
1.875,5,0,SS,,-1.5869,0
1.88,5,0,SS,,-1.5876,0
1.885,5,0,SS,,-1.5883,0
1.89,5,0,SS,,-1.589,0
1.895,5,0,SS,,-1.5897,0
1.9,5,0,SS,,-1.5903,0
1.905,5,0,SS,,-1.5909,0
1.91,5,0,SS,,-1.5915,0
1.915,5,0,SS,,-1.5921,0
1.92,5,0,SS,,-1.5927,0
1.925,5,0,SS,,-1.5933,0
1.93,5,0,SS,,-1.5939,0
1.935,5,0,SS,,-1.5944,0
1.94,5,0,SS,,-1.5949,0
1.945,5,0,SS,,-1.5954,0
1.95,5,0,SS,,-1.5959,0
1.955,5,0,SS,,-1.5964,0
1.96,5,0,SS,,-1.5969,0
1.965,5,0,SS,,-1.5973,0
1.97,5,0,SS,,-1.5977,0
1.975,5,0,SS,,-1.5981,0
1.98,5,0,SS,,-1.5985,0
1.985,5,0,SS,,-1.5989,0
1.99,5,0,SS,,-1.5993,0
1.995,5,0,SS,,-1.5997,0
2,5,0,SS,,-1.6,0
2.005,5,0,SS,,-1.6003,0
2.01,5,0,SS,,-1.6006,0
2.015,5,0,SS,,-1.6009,0
2.02,5,0,SS,,-1.6012,0
2.025,5,0,SS,,-1.6015,0
2.03,5,0,SS,,-1.6017,0
2.035,5,0,SS,,-1.602,0
2.04,5,0,SS,,-1.6022,0
2.045,5,0,SS,,-1.6024,0
2.05,5,0,SS,,-1.6026,0
2.055,5,0,SS,,-1.6028,0
2.06,5,0,SS,,-1.6029,0
2.065,5,0,SS,,-1.6031,0
2.07,5,0,SS,,-1.6032,0
2.075,5,0,SS,,-1.6033,0
2.08,5,0,SS,,-1.6034,0
2.085,5,0,SS,,-1.6035,0
2.09,5,0,SS,,-1.6036,0
2.095,5,0,SS,,-1.6037,0
2.1,5,0,SS,,-1.6037,0
2.105,5,0,SS,,-1.6037,0
2.11,5,0,SS,,-1.6037,0
2.115,5,0,SS,,-1.6037,0
2.12,5,0,SS,,-1.6037,0
2.125,5,0,SS,,-1.6037,0
2.13,5,0,SS,,-1.6037,0
2.135,5,0,SS,,-1.6036,0
2.14,5,0,SS,,-1.6035,0
2.145,5,0,SS,,-1.6035,0
2.15,5,0,SS,,-1.6034,0
2.155,5,0,SS,,-1.6032,0
2.16,5,0,SS,,-1.6031,0
2.165,5,0,SS,,-1.603,0
2.17,5,0,SS,,-1.6028,0
2.175,5,0,SS,,-1.6027,0
2.18,5,0,SS,,-1.6025,0
2.185,5,0,SS,,-1.6023,0
2.19,5,0,SS,,-1.6021,0
2.195,5,0,SS,,-1.6018,0
2.2,5,0,SS,,-1.6016,0
2.205,5,0,SS,,-1.6013,0
2.21,5,0,SS,,-1.6011,0
2.215,5,0,SS,,-1.6008,0
2.22,5,0,SS,,-1.6005,0
2.225,5,0,SS,,-1.6002,0
2.23,5,0,SS,,-1.5999,0
2.235,5,0,SS,,-1.5995,0
2.24,5,0,SS,,-1.5992,0
2.245,5,0,SS,,-1.5988,0
2.25,5,0,SS,,-1.5984,0
2.255,5,0,SS,,-1.598,0
2.26,5,0,SS,,-1.5976,0
2.265,5,0,SS,,-1.5972,0
2.27,5,0,SS,,-1.5968,0
2.275,5,0,SS,,-1.5963,0
2.28,5,0,SS,,-1.5959,0
2.285,5,0,SS,,-1.5954,0
2.29,5,0,SS,,-1.5949,0
2.295,5,0,SS,,-1.5944,0
2.3,5,0,SS,,-1.5939,0
2.305,5,0,SS,,-1.5934,0
2.31,5,0,SS,,-1.5928,0
2.315,5,0,SS,,-1.5923,0
2.32,5,0,SS,,-1.5917,0
2.325,5,0,SS,,-1.5911,0
2.33,5,0,SS,,-1.5905,0
2.335,5,0,SS,,-1.5899,0
2.34,5,0,SS,,-1.5893,0
2.345,5,0,SS,,-1.5887,0
2.35,5,0,SS,,-1.588,0
2.355,5,0,SS,,-1.5874,0
2.36,5,0,SS,,-1.5867,0
2.365,5,0,SS,,-1.586,0
2.37,5,0,SS,,-1.5853,0
2.375,5,0,SS,,-1.5846,0
2.38,5,0,SS,,-1.5838,0
2.385,5,0,SS,,-1.5831,0
2.39,5,0,SS,,-1.5823,0
2.395,5,0,SS,,-1.5816,0
2.4,5,0,SS,,-1.5808,0
2.405,5,0,SS,,-1.58,0
2.41,5,0,SS,,-1.5792,0
2.415,5,0,SS,,-1.5784,0
2.42,5,0,SS,,-1.5775,0
2.425,5,0,SS,,-1.5767,0
2.43,5,0,SS,,-1.5758,0
2.435,5,0,SS,,-1.575,0
2.44,5,0,SS,,-1.5741,0
2.445,5,0,SS,,-1.5732,0
2.45,5,0,SS,,-1.5723,0
2.455,5,0,SS,,-1.5714,0
2.46,5,0,SS,,-1.5704,0
2.465,5,0,SS,,-1.5695,0
2.47,5,0,SS,,-1.5685,0
2.475,5,0,SS,,-1.5676,0
2.48,5,0,SS,,-1.5666,0
2.485,5,0,SS,,-1.5656,0
2.49,5,0,SS,,-1.5646,0
2.495,5,0,SS,,-1.5635,0
2.5,5,0,SS,,-1.5625,0
2.505,5,0,SS,,-1.5615,0
2.51,5,0,SS,,-1.5604,0
2.515,5,0,SS,,-1.5593,0
2.52,5,0,SS,,-1.5582,0
2.525,5,0,SS,,-1.5571,0
2.53,5,0,SS,,-1.556,0
2.535,5,0,SS,,-1.5549,0
2.54,5,0,SS,,-1.5538,0
2.545,5,0,SS,,-1.5526,0
2.55,5,0,SS,,-1.5515,0
2.555,5,0,SS,,-1.5503,0
2.56,5,0,SS,,-1.5491,0
2.565,5,0,SS,,-1.5479,0
2.57,5,0,SS,,-1.5467,0
2.575,5,0,SS,,-1.5455,0
2.58,5,0,SS,,-1.5443,0
2.585,5,0,SS,,-1.543,0
2.59,5,0,SS,,-1.5417,0
2.595,5,0,SS,,-1.5405,0
2.6,5,0,SS,,-1.5392,0
2.605,5,0,SS,,-1.5379,0
2.61,5,0,SS,,-1.5366,0
2.615,5,0,SS,,-1.5353,0
2.62,5,0,SS,,-1.534,0
2.625,5,0,SS,,-1.5326,0
2.63,5,0,SS,,-1.5313,0
2.635,5,0,SS,,-1.5299,0
2.64,5,0,SS,,-1.5285,0
2.645,5,0,SS,,-1.5271,0
2.65,5,0,SS,,-1.5257,0
2.655,5,0,SS,,-1.5243,0
2.66,5,0,SS,,-1.5229,0
2.665,5,0,SS,,-1.5215,0
2.67,5,0,SS,,-1.52,0
2.675,5,0,SS,,-1.5186,0
2.68,5,0,SS,,-1.5171,0
2.685,5,0,SS,,-1.5156,0
2.69,5,0,SS,,-1.5141,0
2.695,5,0,SS,,-1.5126,0
2.7,5,0,SS,,-1.5111,0
2.705,5,0,SS,,-1.5096,0
2.71,5,0,SS,,-1.508,0
2.715,5,0,SS,,-1.5065,0
2.72,5,0,SS,,-1.5049,0
2.725,5,0,SS,,-1.5033,0
2.73,5,0,SS,,-1.5018,0
2.735,5,0,SS,,-1.5002,0
2.74,5,0,SS,,-1.4986,0
2.745,5,0,SS,,-1.4969,0
2.75,5,0,SS,,-1.4953,0
2.755,5,0,SS,,-1.4937,0
2.76,5,0,SS,,-1.492,0
2.765,5,0,SS,,-1.4904,0
2.77,5,0,SS,,-1.4887,0
2.775,5,0,SS,,-1.487,0
2.78,5,0,SS,,-1.4853,0
2.785,5,0,SS,,-1.4836,0
2.79,5,0,SS,,-1.4819,0
2.795,5,0,SS,,-1.4801,0
2.8,5,0,SS,,-1.4784,0
2.805,5,0,SS,,-1.4766,0
2.81,5,0,SS,,-1.4749,0
2.815,5,0,SS,,-1.4731,0
2.82,5,0,SS,,-1.4713,0
2.825,5,0,SS,,-1.4695,0
2.83,5,0,SS,,-1.4677,0
2.835,5,0,SS,,-1.4659,0
2.84,5,0,SS,,-1.4641,0
2.845,5,0,SS,,-1.4622,0
2.85,5,0,SS,,-1.4604,0
2.855,5,0,SS,,-1.4585,0
2.86,5,0,SS,,-1.4567,0
2.865,5,0,SS,,-1.4548,0
2.87,5,0,SS,,-1.4529,0
2.875,5,0,SS,,-1.451,0
2.88,5,0,SS,,-1.4491,0
2.885,5,0,SS,,-1.4471,0
2.89,5,0,SS,,-1.4452,0
2.895,5,0,SS,,-1.4433,0
2.9,5,0,SS,,-1.4413,0
2.905,5,0,SS,,-1.4393,0
2.91,5,0,SS,,-1.4374,0
2.915,5,0,SS,,-1.4354,0
2.92,5,0,SS,,-1.4334,0
2.925,5,0,SS,,-1.4314,0
2.93,5,0,SS,,-1.4293,0
2.935,5,0,SS,,-1.4273,0
2.94,5,0,SS,,-1.4253,0
2.945,5,0,SS,,-1.4232,0
2.95,5,0,SS,,-1.4212,0
2.955,5,0,SS,,-1.4191,0
2.96,5,0,SS,,-1.417,0
2.965,5,0,SS,,-1.4149,0
2.97,5,0,SS,,-1.4128,0
2.975,5,0,SS,,-1.4107,0
2.98,5,0,SS,,-1.4086,0
2.985,5,0,SS,,-1.4065,0
2.99,5,0,SS,,-1.4043,0
2.995,5,0,SS,,-1.4022,0
3,5,0,SS,,-1.4,0
3.005,5,0,SS,,-1.3978,0
3.01,5,0,SS,,-1.3956,0
3.015,5,0,SS,,-1.3935,0
3.02,5,0,SS,,-1.3913,0
3.025,5,0,SS,,-1.389,0
3.03,5,0,SS,,-1.3868,0
3.035,5,0,SS,,-1.3846,0
3.04,5,0,SS,,-1.3823,0
3.045,5,0,SS,,-1.3801,0
3.05,5,0,SS,,-1.3778,0
3.055,5,0,SS,,-1.3756,0
3.06,5,0,SS,,-1.3733,0
3.065,5,0,SS,,-1.371,0
3.07,5,0,SS,,-1.3687,0
3.075,5,0,SS,,-1.3664,0
3.08,5,0,SS,,-1.3641,0
3.085,5,0,SS,,-1.3617,0
3.09,5,0,SS,,-1.3594,0
3.095,5,0,SS,,-1.3571,0
3.1,5,0,SS,,-1.3547,0
3.105,5,0,SS,,-1.3523,0
3.11,5,0,SS,,-1.35,0
3.115,5,0,SS,,-1.3476,0
3.12,5,0,SS,,-1.3452,0
3.125,5,0,SS,,-1.3428,0
3.13,5,0,SS,,-1.3404,0
3.135,5,0,SS,,-1.3379,0
3.14,5,0,SS,,-1.3355,0
3.145,5,0,SS,,-1.3331,0
3.15,5,0,SS,,-1.3306,0
3.155,5,0,SS,,-1.3282,0
3.16,5,0,SS,,-1.3257,0
3.165,5,0,SS,,-1.3232,0
3.17,5,0,SS,,-1.3207,0
3.175,5,0,SS,,-1.3182,0
3.18,5,0,SS,,-1.3157,0
3.185,5,0,SS,,-1.3132,0
3.19,5,0,SS,,-1.3107,0
3.195,5,0,SS,,-1.3081,0
3.2,5,0,SS,,-1.3056,0
3.205,5,0,SS,,-1.303,0
3.21,5,0,SS,,-1.3005,0
3.215,5,0,SS,,-1.2979,0
3.22,5,0,SS,,-1.2953,0
3.225,5,0,SS,,-1.2928,0
3.23,5,0,SS,,-1.2902,0
3.235,5,0,SS,,-1.2876,0
3.24,5,0,SS,,-1.2849,0
3.245,5,0,SS,,-1.2823,0
3.25,5,0,SS,,-1.2797,0
3.255,5,0,SS,,-1.277,0
3.26,5,0,SS,,-1.2744,0
3.265,5,0,SS,,-1.2717,0
3.27,5,0,SS,,-1.2691,0
3.275,5,0,SS,,-1.2664,0
3.28,5,0,SS,,-1.2637,0
3.285,5,0,SS,,-1.261,0
3.29,5,0,SS,,-1.2583,0
3.295,5,0,SS,,-1.2556,0
3.3,5,0,SS,,-1.2529,0
3.305,5,0,SS,,-1.2502,0
3.31,5,0,SS,,-1.2474,0
3.315,5,0,SS,,-1.2447,0
3.32,5,0,SS,,-1.2419,0
3.325,5,0,SS,,-1.2392,0
3.33,5,0,SS,,-1.2364,0
3.335,5,0,SS,,-1.2336,0
3.34,5,0,SS,,-1.2309,0
3.345,5,0,SS,,-1.2281,0
3.35,5,0,SS,,-1.2253,0
3.355,5,0,SS,,-1.2225,0
3.36,5,0,SS,,-1.2196,0
3.365,5,0,SS,,-1.2168,0
3.37,5,0,SS,,-1.214,0
3.375,5,0,SS,,-1.2111,0
3.38,5,0,SS,,-1.2083,0
3.385,5,0,SS,,-1.2054,0
3.39,5,0,SS,,-1.2026,0
3.395,5,0,SS,,-1.1997,0
3.4,5,0,SS,,-1.1968,0
3.405,5,0,SS,,-1.1939,0
3.41,5,0,SS,,-1.191,0
3.415,5,0,SS,,-1.1881,0
3.42,5,0,SS,,-1.1852,0
3.425,5,0,SS,,-1.1823,0
3.43,5,0,SS,,-1.1793,0
3.435,5,0,SS,,-1.1764,0
3.44,5,0,SS,,-1.1735,0
3.445,5,0,SS,,-1.1705,0
3.45,5,0,SS,,-1.1675,0
3.455,5,0,SS,,-1.1646,0
3.46,5,0,SS,,-1.1616,0
3.465,5,0,SS,,-1.1586,0
3.47,5,0,SS,,-1.1556,0
3.475,5,0,SS,,-1.1526,0
3.48,5,0,SS,,-1.1496,0
3.485,5,0,SS,,-1.1466,0
3.49,5,0,SS,,-1.1436,0
3.495,5,0,SS,,-1.1405,0
3.5,5,0,SS,,-1.1375,0
